id_projeto;id_osc;cd_identificador_osc;tx_nome_projeto;tx_nome_status_projeto;dt_data_inicio_projeto;dt_data_fim_projeto;tx_link_projeto;nr_total_beneficiarios;nr_valor_captado_projeto;nr_valor_total_projeto;tx_nome_abrangencia_projeto;tx_nome_zona_atuacao;tx_descricao_projeto;tx_metodologia_monitoramento;ft_identificador_projeto_externo;tx_status_projeto_outro;edmu_cd_municipio;edmu_nm_municipio;eduf_cd_uf;eduf_nm_uf;tx_nome_subarea_atuacao;tx_nome_financiador;tx_orgao_concedente;tx_nome_origem_fonte_recursos_projeto;tx_nome_fonte_recursos_projeto;tx_nome_regiao_localizacao_projeto;tx_nome_objetivo_projeto;tx_nome_meta_projeto;id_osc_parceira;tx_nome_publico_beneficiado;nr_estimativa_pessoas_atendidas;tx_nome_tipo_parceria
39105;647862;3419494000131;A LUZ DA LULA;Finalizado;2014-01-07 00:00:00;2014-12-31 00:00:00;http://versalic.cultura.gov.br/#/projetos/137124;;597218;597218;;;A proposta consiste em produzir e publicar o livro A LUZ DA LULA, conto de natureza humanística destinado ao público infantojuvenil. Pretendemos realizar sessões gratuitas de contação da história e oficinas de ilustração também gratuitas, com venda do livro a preço promocional em espaços comerciais e doações de livros em instituições e espaços públicos. A venda deverá ocorrer em grandes livrarias e no site da Fundação Marlim Azul.;;SALICWEB/MINC 03/2018;;;;;;;;;;;;;;;;;
2675109;1091530;7535104000140;Carnaval da Cidade de Santos - 2019 ;Projeto em andamento;2018-11-21 00:00:00;2021-12-31 00:00:00;http://versalic.cultura.gov.br/#/projetos/184624;;0;47977326;;;O projeto cultural tem por objetivos (1) apoiar a reprodução de fantasias e alegorias para os desfiles de carnaval das Escolas de Samba de Santos e (2) realizar a gravação de CDs com os Samba de Enredo das agremiações . Permitindo desse modo, a preservação da tradição das manifestações carnavalescas, muito apreciadas pela população santista.;;SALICWEB/MINC;;;;;;;;;;;;;;;;;
38242;666416;9665333000104;SERIADO SHOWNALISMO.;Arquivado, cancelado ou indeferido;2013-05-01 00:00:00;2013-10-31 00:00:00;http://versalic.cultura.gov.br/#/projetos/131075;;0;802307;;;O projeto visa em produzir um seriado, com 13 capítulos, estrelado por atores da comunidade, e com o seu enredo baseado em uma crítica cáustica e bem humorada ao jornalismo em geral, mostrando suas contradições e jogos de interesse político-econômicos. O cenário é uma redação de típico jornal local de cidade pequena. Na redação, acontece o embate entre o interesse econômico e as tão faladas ética e objetividade jornalística, em meio aos dramas e sonhos dos personagens principais.;;SALICWEB/MINC 03/2018;;;;;;;;;;;;;;;;;
38833;666416;9665333000104;CIRCUITO DAKPA FEST.;Arquivado, cancelado ou indeferido;2013-09-02 00:00:00;2014-02-28 00:00:00;http://versalic.cultura.gov.br/#/projetos/133569;;0;4069590;;;O projeto CIRCUITO DAKPA FEST constitui em fazer um circuito de apresentações musicais de grande porte em cinco (5) cidades Brasileiras, visando democratização ao acesso à música popular Brasileira.;;SALICWEB/MINC 03/2018;;;;;;;;;;;;;;;;;
39087;666416;9665333000104;Manhã Pela Vida - Campos, Instrumental;Finalizado;2013-09-21 00:00:00;2014-12-31 00:00:00;http://versalic.cultura.gov.br/#/projetos/136967;;2011394;2011394;;;O Projeto propõe a realização um grande espetáculo de Música Instrumental de qualidade na cidade de Vila Velha ES, com entrada Franca.;;SALICWEB/MINC 03/2018;;;;;;;;;;;;;;;;;
40696;666416;9665333000104;ECO MUSICA;Arquivado, cancelado ou indeferido;2015-01-16 00:00:00;2016-02-01 00:00:00;http://versalic.cultura.gov.br/#/projetos/147127;;0;347330;;;Realizar o projeto ECO MÚSICA, projeto voltado para alunos da 1ª a 5ª série do ensino fundamental e realiza-lo em três (3) escolas da rede pública de ensino, onde as crianças terão ministrações de aulas de Música e Reciclagem com Arte, e também receberão um Gibi e um CD Afirmativo com historinhas e músicas que falam sobre a proteção à Natureza e ao Meio Ambiente.;;SALICWEB/MINC 03/2018;;;;;;;;;;;;;;;;;
40713;666416;9665333000104;INDÚSTRIA CRIATIVA;Arquivado, cancelado ou indeferido;2015-01-15 00:00:00;2016-02-29 00:00:00;http://versalic.cultura.gov.br/#/projetos/147282;;0;77062662;;;O Projeto INDÚSTRIA CRIATIVA, visa criar um centro Cultural para atender moradores das periferias e comunidades que se encontram em vulnerabilidade social, onde serão ministrados cursos de música e animação 2D, tornando-os profissionais aptos para o mercado de trabalho na INDÚSTRIA CRIATIVA.;;SALICWEB/MINC 03/2018;;;;;;;;;;;;;;;;;
43562;627314;5798009000103;2º Festival Nacional do Choro de Santos;Arquivado, cancelado ou indeferido;2016-12-24 00:00:00;2017-12-30 00:00:00;http://versalic.cultura.gov.br/#/projetos/163954;;0;269600;;;Realizar a segunda edição do Festival Nacional do Choro de Santos, com a participação de renomados grupos nacionais e locais, como forma de resgatar, fortalecer e divulgar o Choro - o primeiro gênero musical urbano genuinamente brasileiro.;;SALICWEB/MINC 03/2018;;;;;;;;;;;;;;;;;
2677293;627314;5798009000103;A RODA DE CHORO É PATRIMÔNIO DO BRASIL!;Proposta;2020-01-13 00:00:00;2021-12-23 00:00:00;http://versalic.cultura.gov.br/#/projetos/193386;;0;99871145;;;Essa proposta pretende realizar uma campanha nacional de pesquisa, levantamento de informações, organização de acervo digitalizado, mapeamento cartográfico, elaboração de dossiê e produção de um documentário que revele o panorama das atividades do que entendemos por movimento cultural das Rodas de Choro no Brasil, acontecendo por todo o território nacional, sintetizando as informações coletadas. Com isso, esperamos criar as condições que possibilitem o registro da Roda de Choro Brasileiro como bem cultural de natureza imaterial pelo IPHAN – Instituto do Patrimônio Histórico e Artístico Nacional.;;SALICWEB/MINC 06/2018;;;;;;;;;Recursos públicos;Parceria com o governo federal;;;;;;;
33337;627314;5798009000103;"â&#x20AC;&#x0153;Mostra sotaques do Brasil: I Encontro Nacional dos Clubes de Choroâ&#x20AC;?";Arquivado, cancelado ou indeferido;2010-07-01 00:00:00;2011-03-20 00:00:00;http://versalic.cultura.gov.br/#/projetos/101780;;0;262733;;;“Mostra Sotaques do Brasil: I Encontro Nacional dos Clubes de Choro” é um evento com a duração de quatro dias, que contemplará uma programação de shows, palestras e debates visando a difusão dos trabalhos de chorões brasileiros procurando traçar um mapeamento dos diferentes sotaques, bem como ações para a preservação da memória e identidade do choro.;;SALICWEB/MINC 03/2018;;;;;;;;;;;;;;;;;
38386;666416;9665333000104;ACESSO CULTURAL.;Arquivado, cancelado ou indeferido;2013-05-06 00:00:00;2013-12-20 00:00:00;http://versalic.cultura.gov.br/#/projetos/131181;;0;3942288;;;O projeto ACESSO CULTURAL, visa em verticalizar o acesso às fontes de cultura de qualidade, através de espetáculos musicais de grande porte com renomados artistas nacionais, em 6 cidades Brasileiras.;;SALICWEB/MINC 03/2018;;;;;;;;;;;;;;;;;
39112;666416;9665333000104;ARENA - INSTRUMENTAL;Arquivado, cancelado ou indeferido;2013-10-23 00:00:00;2016-12-31 00:00:00;http://versalic.cultura.gov.br/#/projetos/137159;;550000;3603128;;;O Projeto ARENA - INSTRUMENTAL visa fazer seis (6) grandes shows musicais com intuito de disseminar e propagar o melhor da Música Instrumental Brasileira nas mais variadas vertentes e estilos em seis (6) cidades brasileiras gratuitamente.;;SALICWEB/MINC 03/2018;;;;;;;;;;;;;;;;;
38264;666416;9665333000104;EXIBISHOW;Arquivado, cancelado ou indeferido;2013-05-01 00:00:00;2013-10-31 00:00:00;http://versalic.cultura.gov.br/#/projetos/131083;;0;0;;;O projeto EXIBISHOW, visa em fazer apresentações ARTÍSTICAS/ESPORTIVAS com malabares e encenações de esportes olímpicos através de atletas/artistas fantasiados de personagens conhecidos e inéditos, para divulgação das olímpiadas de 2016,e serão realizados 12 apresentações nas principais capitais Brasileiras.;;SALICWEB/MINC 03/2018;;;;;;;;;;;;;;;;;
40775;666416;9665333000104;CORREDOR AMIGO, SUSTENTABILIDADE E CIDADANIA.;Arquivado, cancelado ou indeferido;2014-09-01 00:00:00;2015-08-31 00:00:00;http://versalic.cultura.gov.br/#/projetos/147554;;0;728954;;;O projeto CORREDOR AMIGO - SUSTENTABILIDADE E CIDADANIA é um projeto sociocultural que atenderá 180 pessoas moradoras de comunidades e periferias, através de oficinas culturais.;;SALICWEB/MINC 03/2018;;;;;;;;;;;;;;;;;
40950;647862;3419494000131;TUDO DEPENDE;Finalizado;2014-09-18 00:00:00;2016-12-31 00:00:00;http://versalic.cultura.gov.br/#/projetos/148707;;20000;65200;;;A proposta consiste em produzir e publicar o livro TUDO DEPENDE, conto de natureza humanística destinado ao público infantojuvenil. Pretendemos realizar sessões gratuitas de contação da história gratuitas, com doação ou venda do livro a preço promocional. O livro também será publicado no formato e-book, em português e inglês. A venda deverá ocorrer em grandes livrarias, no site da Fundação Marlim Azul e na Amazon (somente e-book).;;SALICWEB/MINC 03/2018;;;;;;;;;;;;;;;;;
42865;666416;9665333000104;DANIEL INSTRUMENTAL;Arquivado, cancelado ou indeferido;2016-06-01 00:00:00;2016-09-30 00:00:00;http://versalic.cultura.gov.br/#/projetos/160710;;0;1294950;;;O Projeto DANIEL INSTRUMENTAL, prevê a realização de dois (02) grandes eventos de música instrumental, através de concertos com ORQUESTRAS SINFÔNICAS que irão homenagear o Músico e Cantor Sertanejo “Daniel” tocando seus grandes sucessos orquestrados. O show instrumental terá como Granfinale a participação especial do Artista Homenageado “Daniel” com as orquestras convidadas.;;SALICWEB/MINC 03/2018;;;;;;;;;;;;;;;;;
2674200;607418;58250358000152;Digitalização do acervo de jornais A Tribuna de Santos;Projeto em andamento;2018-09-12 00:00:00;2021-12-31 00:00:00;http://versalic.cultura.gov.br/#/projetos/183424;;0;440768473;;;Digitalizar o acervo histórico do jornal A Tribuna de Santos, um dos periódicos mais antigos e importantes do Brasil. São cerca de 1,6 milhão de páginas, do período compreendido entre 1898 e 2008 (a partir deste ano, o jornal passou a guardar uma versão digital). Após digitalizado, e ter seu conteúdo passado por um sistema de reconhecimento de texto, para efeito de buscas por palavras-chave, o acervo será disponibilizado na internet com acesso público e gratuito.;;SALICWEB/MINC;;;;;;;;;;;;;;;;;
37902;644137;14126748000140;9° Cortejo Quiloa- Amostra de Arte Popular;Arquivado, cancelado ou indeferido;2014-01-07 00:00:00;2014-03-20 00:00:00;http://versalic.cultura.gov.br/#/projetos/130140;;0;241795;;;O evento consiste na continuidade dos cortejos do Maracatu Quiloa, no Centro histórico na cidade de Santos, evento esse que ano após ano inclui novas linguagens da cultura popular. Em sua programação para edição de 2013, a associação propõe uma amostra de cultura popular de (3) dias, contendo palestras, oficinas, exposições, shows, além do tradicional cortejo do Quiloa pelas ruas do centro histórico incluindo a praça Mauá e Casa da frontaria azulejada, pontos turísticos da cidade.;;SALICWEB/MINC 03/2018;;;;;;;;;;;;;;;;;
2675711;670482;4979995000135;BALÉ DA CIDADE DE SANTOS - APRESENTAÇÕES 2019;Projeto em andamento;2018-12-20 00:00:00;2021-12-31 00:00:00;http://versalic.cultura.gov.br/#/projetos/185869;;0;12744875;;;Apresentação do repertório do BALÉ DA CIDADE DE SANTOS durante o ano de 2019. Serão executados 5 espetáculos.;;SALICWEB/MINC;;;;;;;;;;;;;;;;;
32185;607418;58250358000152;Almanaque de Santos;Finalizado;2010-01-01 00:00:00;2011-12-31 00:00:00;http://versalic.cultura.gov.br/#/projetos/097567;;269418;269418;;;Revista Oficial do Instituto Histórico e Geográfico de Santos, que publicará artigos e reportagens sobre a memória regional, bem como matérias relacionadas às ciências (geografia, geologia, arqueologia, entre outros). Também terá espaços para a discussão de temas importantes da nova geração, como o desenvolvimento da sociedade, meio ambiente e sustentabilidade.;;SALICWEB/MINC 03/2018;;;;;;;;;;;;;;;;;
32491;607418;58250358000152;Atlas da História de Santos;Arquivado, cancelado ou indeferido;2010-08-02 00:00:00;2010-12-30 00:00:00;http://versalic.cultura.gov.br/#/projetos/100644;;0;213994;;;Editar um livro que contenha as principais referências cartográficas e ilustrativas de aspectos geográficos sobre Santos e região que tenham sido publicadas ao longo da história. Todos os mapas e gravuras estarão devidamente acompanhados de textos informativos sobre o período abordado, conceito de trabalho, objetivo da plantas e seus autores.;;SALICWEB/MINC 03/2018;;;;;;;;;;;;;;;;;
34727;607418;58250358000152;Almanaque de Santos - ano 2;Arquivado, cancelado ou indeferido;2012-04-02 00:00:00;2013-06-30 00:00:00;http://versalic.cultura.gov.br/#/projetos/1111309;;0;237678;;;Revista Oficial do Instituto Histórico e Geográfico de Santos, que publicará artigos e reportagens sobre a memória regional, bem como matérias relacionadas às ciências (geografia, geologia, arqueologia, entre outros). Também terá espaços para a discussão de temas importantes da nova geração, como o desenvolvimento da sociedade, meio ambiente e sustentabilidade.;;SALICWEB/MINC 03/2018;;;;;;;;;;;;;;;;;
2087601;607359;58247503000146;Parceria  723195;Arquivado, cancelado ou indeferido;2009-12-31 00:00:00;2011-12-31 00:00:00;https://www.convenios.gov.br/siconv/ConsultarProposta/ResultadoDaConsultaDeConvenioSelecionarConvenio.do?sequencialConvenio=723195&Usr=guest&Pwd=guest;;60000;70000;;;IMPLANTAÇÃO DE CENTROS DE ACESSO A TECNOLOGIAS PARA INCLUSAO SOCIAL.;;SICONV/MPOG 20-03-2019;;;;;;;;;;;;;;;;;
30758;613219;9474791000166;Projeto Esportivo Educacional Settaport II - Santos;Projeto em andamento;2015-05-06 00:00:00;2016-06-30 00:00:00;;0;176350;176350;;;O objetivo do projeto é democratizar o acesso ao esporte educacional, através da modalidade futebol, desenvolvendo o prazer pela prática do esporte e melhorando as competências motoras/físicas, afetivas, sociais e cognitivas dos beneficiados.Considerando que a execução deste projeto irá beneficiar, prioritariamente, os estudantes regularmente matriculados, têm-se como plenamente adequado o enquadramento como desporto educacional , inclusive em razão da sua destinação, plenamente alinhada com a concepção dessa manifestação.;;LIE/MESP 2017;;;;;;;;;;;;;;;;;
