cnpj;ano;url_relatorio;num_relatorio
58.198.524/0001-19;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/9907/RelatorioCircunstanciado.html;9907
52.256.054/0001-16;2006;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/6973/RelatorioCircunstanciado.html;6973
52.246.451/0001-07;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/7815/RelatorioCircunstanciado.html;7815
60.015.070/0001-45;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/8534/RelatorioCircunstanciado.html;8534
58.207.572/0001-26;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/8618/RelatorioCircunstanciado.html;8618
64.042.740/0001-73;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/8775/RelatorioCircunstanciado.html;8775
58.269.515/0001-71;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/9434/RelatorioCircunstanciado.html;9434
58.198.227/0001-73;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/10599/RelatorioCircunstanciado.html;10599
58.258.633/0001-84;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/108533/RelatorioCircunstanciado.html;108533
58.269.515/0001-71;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/109750/RelatorioCircunstanciado.html;109750
58.149.030/0001-44;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/109788/RelatorioCircunstanciado.html;109788
58.238.866/0001-15;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/109900/RelatorioCircunstanciado.html;109900
64.042.740/0001-73;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/110050/RelatorioCircunstanciado.html;110050
66.505.017/0001-09;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/110274/RelatorioCircunstanciado.html;110274
58.228.453/0001-50;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/110585/RelatorioCircunstanciado.html;110585
68.011.865/0001-97;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/110859/RelatorioCircunstanciado.html;110859
68.025.576/0001-47;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/111540/RelatorioCircunstanciado.html;111540
58.250.267/0001-17;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/111864/RelatorioCircunstanciado.html;111864
71.545.636/0001-67;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/113169/RelatorioCircunstanciado.html;113169
51.642.288/0001-39;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/114750/RelatorioCircunstanciado.html;114750
58.198.524/0001-19;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/115268/RelatorioCircunstanciado.html;115268
11.043.826/0001-54;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/115556/RelatorioCircunstanciado.html;115556
58.413.451/0001-30;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/115768/RelatorioCircunstanciado.html;115768
58.218.207/0001-17;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/116448/RelatorioCircunstanciado.html;116448
10.227.433/0001-38;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/117252/RelatorioCircunstanciado.html;117252
58.238.866/0001-15;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/20569/RelatorioCircunstanciado.html;20569
60.015.070/0001-45;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/119076/RelatorioCircunstanciado.html;119076
58.258.633/0001-84;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/119844/RelatorioCircunstanciado.html;119844
58.207.572/0001-26;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/121414/RelatorioCircunstanciado.html;121414
58.224.692/0001-31;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/121549/RelatorioCircunstanciado.html;121549
58.222.910/0001-07;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/122015/RelatorioCircunstanciado.html;122015
71.550.222/0001-26;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/122826/RelatorioCircunstanciado.html;122826
58.191.008/0001-62;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/123704/RelatorioCircunstanciado.html;123704
58.250.267/0001-17;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/123872/RelatorioCircunstanciado.html;123872
