cnpj;ano;num_parceria;nm_orgao_entidade_parceira;nm_posicao_estrutura_adm;tp_ente_federado;tp_fonte_recursos;tp_instrumento_parceria;dt_publicacao;vl_recursos_previstos;vl_recursos_repassados;num_beneficiarios;dt_inicio_atividades;dt_fim_atividades;tx_objetivo_parceria
58.198.524/0001-19;2012;126346;Secretaria Municipal de Saúde;Órgão Público do Poder Executivo;Municipal;Municipal;Convênio;29/06/2012;54.464.872,51;54.464.872,51;-;29/06/2012;26/06/2013;Execução de serviços de atenção a saúde, a nivel ambulatorial e hospitalar ao Sistema Único de Saúde (SUS).
58.198.524/0001-19;2012;126346;Prefeitura Municipal de Santos;Órgão Público do Poder Executivo;Municipal;Municipal;Convênio;06/05/2012;1.800.000,00;1.800.000,00;-;06/05/2012;05/05/2013;Atender despesas de custeio da Entidade.
58.198.524/0001-19;2012;126346;Secretaria do Estado;Órgão Público do Poder Executivo;Estadual;Estadual;Contribuição de Solidariedade;13/02/2012;299.472,44;299.472,44;-;13/02/2012;31/12/2012;Arrecadação da Contribuição de Solidariedade das Santas Casas de Misericórdia de Santos e Região.
58.198.524/0001-19;2012;126346;Secretaria Estadual de Saúde;Órgão Público do Poder Executivo;Estadual;Estadual;Convênio;05/01/2008;200.000,00;21.367,08;-;05/01/2008;07/07/2009;Investimento/Aquisição de equipamentos.
58.198.524/0001-19;2012;126346;Ministério da Saúde;Órgão Público do Poder Executivo;Federal;Federal;Convênio;24/07/2008;180.000,00;18.445,08;-;13/11/2008;17/12/2009;Aquisição de equipamento - Ecografo
58.198.524/0001-19;2012;126346;Ministério da Saúde;Órgão Público do Poder Executivo;Federal;Federal;Convênio;16/01/2009;120.000,00;12.000,00;-;15/04/2009;17/12/2009;Aquisição de equipamento - Ecografo.
58.198.524/0001-19;2012;126346;Secretaria Estadual de Saúde;Órgão Público do Poder Executivo;Estadual;Estadual;Convênio;22/08/2009;300.000,00;294.157,00;-;01/02/2009;27/12/2013;Atender despesas de custeio para reforma da UTI Neonatal.
58.198.524/0001-19;2012;126346;Secretaria Estadual de Saúde;Órgão Público do Poder Executivo;Estadual;Estadual;Convênio;22/08/2009;300.000,00;30.261,36;-;19/08/2009;31/12/2009;Investimento/ Aquisição de equipamentos
58.198.524/0001-19;2012;126346;Secretaria Estadual de Saúde;Órgão Público do Poder Executivo;Estadual;Estadual;Convênio;19/07/2010;188.345,00;41.625,00;-;28/06/2010;30/06/2013;Recurso destinados a custeio com educação permanente - PAREPS.
58.198.524/0001-19;2012;126346;Secretaria Estadual de Saúde;Órgão Público do Poder Executivo;Estadual;Estadual;Convênio;22/09/2011;700.000,02;353.759,33;-;29/09/2011;30/04/2012;Custeio - referente ao Programa Pró Santa Casa 2.
58.198.524/0001-19;2012;126346;Secretaria Estadual de Saúde;Órgão Público do Poder Executivo;Estadual;Estadual;Convênio;10/03/2012;350.000,01;353.084,09;-;09/03/2012;28/12/2012;Custeio - referente ao programa Pró Santa Casa 2.
58.198.524/0001-19;2012;126346;Secretaria Estadual de Saúde;Órgão Público do Poder Executivo;Estadual;Estadual;Convênio;05/07/2012;1.050.000,03;703.434,86;-;14/06/2012;28/02/2013;Custeio - referente ao progama Pró Santa Casa 2.
58.238.866/0001-15;2012;126655;PREFEITURA MUNICIPAL DE SANTOS;Órgão Público do Poder Executivo;Municipal;Municipal;Convênio;01/01/2012;1.011.938,04;954.054,24;107;01/01/2012;30/12/2012;ATENDIMENTO EDUCACIONAL ESPECIALIZADO A CRIANÇAS, ADOLESCENTES E/OU ADULTOS PORTADORES DE NECESSIDADES ESPECIAIS, VISANDO AO DESENVOLVIMENTO DE SUAS CAPACIDADES FISICAS, SENSORIAIS E MENTAIS.
58.238.866/0001-15;2012;126655;PREFEITURA MUNICIPAL DE SANTOS;Órgão Público do Poder Executivo;Municipal;Federal;Convênio;02/01/2011;3.468,87;3.302,13;50;02/01/2011;30/12/2011;PROJETO APAE CIDADÃ-DESENVOLVENDO POTENCIALIDADES, FORTALECENDO VINCULOS, COM OBJETIVO DE CAPACITAR ADOLESCENTES E ADULTOS COM DEFICIÊNCIA INTELECTUAL E/OU SEUS FAMILIARES, EM NOÇÕES BÁSICAS DE CULINÁRIA/COZINHA E DE GESTÃO P/ INSERÇÃO NO MERCADO DE TRABALHO E/OU EM CASA.
58.238.866/0001-15;2012;126655;PREFEITURA MUNICIPAL DE SANTOS;Órgão Público do Poder Executivo;Municipal;Municipal;Convênio;02/01/2011;519,70;1.634,54;50;02/01/2011;30/12/2011;PROJETO APAE- CIDADÃ, CO-FINANCIAMENTO MUNICIPAL, COM OBJETIVO DE PREPARAR ADOLESCENTES E ADULTOS COM DEFICIÊNCIA INTELECTUAL E/OU FAMILIARES PARA O MERCADO DE TRABALHO E/OU EM CASA, COM NOÇÕES BÁSICAS  NA PREPARAÇÃO DE SALGADOS E AFINS.
