cnpj;ano;url_principal;vl_prestacao_servicos;vl_recursos_subvencoes_publicas;vl_recursos_contribuicoes_publicas;vl_recursos_convenios_publicos;vl_recursos_auxi­lios_publicos;vl_recursos_termo_parceria;vl_doacoes_contribuicoes_custeio;vl_receita_convenios_saude_conveniados;vl_prest_servicos_saude_conveniados;vl_sus_sistema_unico_saude;vl_inscricoes_cursos_vestibulares;vl_servicos_educacionais;vl_taxa_mensalidades_contribuicoes;vl_contribuicao_empresas_mantenedoras;vl_doacoes_campanhas_patroci­nios;vl_recusos_internacionais;vl_bolsas_estudo_concedidas;vl_atendimento_gratuito;vl_descontos_comerciais_concedidos;vl_pis_receitas;vl_cofins_receitas;vl_icms_vendas;vl_iss_servicos;vl_vendas_canceladas;vl_outras_deducoes;vl_outras_receitas_operacionais;vl_descontos_obtidos;vl_rendalugueis_arrendamentos;vl_rendimentos_ti­tulos_aplicacoes_mercado_financeiro;vl_impostos_aplicacoes_financeiras;vl_outras_receitas_financeiras;vl_vendativo_permanente;vl_doacoes_receb_bens_mercadorias;vl_outras_receitas_nao_operacionais;vl_outras_receitas_nao_classificadas_anteriormente;vl_total_receitas;vl_salarios_funcionarios_(c/_vi­nculo_empregati­cio);vl_encargos_sociais_pessoal;vl_despesas_diversas_pessoal;vl_remuneracao_dirigentes;vl_encargos_sociais_dirigentes;vl_outros_encargos_sociais_compulsorios;vl_outras_despesas_pessoal;vl_recursos_humanos_externos_pessofi­sica;vl_recursos_humanos_externos_pessojuri­dica;vl_inss_servicos_prestados_por_terceiros;vl_outras_despesas_servicos_contratados;vl_custos_projetos;vl_agua_gas_energieletrica;vl_alugueis_pagos;vl_despesas_vei­culos;vl_diarias_viagens;vl_hospedagem;vl_passagens_aereas/rodoviarias;vl_telefone_fax_outras_despesas_comunicacoes;vl_publicacoes_tecnicas;vl_servicos_tecnicos_especializados;vl_despesas_informatica;vl_premios_seguros_contratados;vl_despesas_atividades_sociais_culturais;vl_outras_despesas_administrativas;vl_ensifundamental;vl_curso_superior;vl_estagiarios;vl_mestrados_doutorados_pos_doutorados;vl_outras_despesas_bolsas_estudo
58.238.866/0001-15;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/20569/RelatorioCircunstanciado.html;0,00;745.324,97;0,00;0,00;0,00;0,00;124.741,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;60.278,11;0,00;0,00;962.964,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13.250,00;0,00;0,00;51.807,33;0,00;0,00;0,00;0,00;32.437,23;617.271,51;60.580,83;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25.528,09;0,00;7.513,51;134,88;0,00;0,00;9.587,63;0,00;8.700,00;0,00;570,37;0,00;211.594,59;0,00;0,00;0,00;0,00;0,00
60.015.070/0001-45;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/119076/RelatorioCircunstanciado.html;0,00;0,00;0,00;371.154,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10.975,00;0,00;159.517,84;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15.229,00;0,00;0,00;556.876,74;358.989,34;51.487,53;961,72;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27.229,79;0,00;8.540,07;0,00;0,00;0,00;6.104,87;0,00;0,00;6.199,41;0,00;0,00;37.740,95;0,00;0,00;0,00;0,00;0,00
58.258.633/0001-84;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/119844/RelatorioCircunstanciado.html;0,00;150.337,20;0,00;0,00;0,00;0,00;225.729,36;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;588,00;0,00;0,00;6.143,07;0,00;0,00;0,00;0,00;2.922,83;0,00;385.720,46;173.733,09;46.823,17;0,00;0,00;0,00;0,00;0,00;51.506,50;9.197,78;0,00;0,00;0,00;15.099,93;0,00;2.481,87;0,00;0,00;0,00;7.207,56;0,00;0,00;2.958,10;0,00;7.837,54;94.960,73;0,00;0,00;0,00;0,00;0,00
58.207.572/0001-26;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/121414/RelatorioCircunstanciado.html;0,00;0,00;0,00;2.096.575,95;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;39.260.720,51;0,00;0,00;0,00;2.407.068,79;0,00;0,00;0,00;0,00;0,00;0,00;0,00;268.791,04;0,00;0,00;0,00;30.833.653,00;0,00;1.010.464,73;0,00;0,00;0,00;0,00;70.525.554,36;10.963.828,38;1.498.873,80;0,00;0,00;0,00;0,00;0,00;86.091,99;1.229.492,63;0,00;0,00;2.070.305,37;372.934,84;0,00;0,00;33.684,37;0,00;0,00;41.521,06;9.962,69;0,00;348.587,16;11.230,16;0,00;1.462.441,40;659.200,00;4.126.066,58;0,00;0,00;0,00
58.224.692/0001-31;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/121549/RelatorioCircunstanciado.html;31.623,20;676.630,80;0,00;30.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;204.813,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;678,90;0,00;0,00;21.174,50;1.020,00;0,00;641,05;0,00;0,00;0,00;0,00;0,00;0,00;965.224,55;322.606,25;76.979,40;100.888,66;0,00;0,00;0,00;103.516,04;4.770,00;128.563,05;0,00;0,00;371,80;39.032,51;43.643,70;1.932,73;567,40;0,00;0,00;5.558,10;0,00;0,00;5.325,57;6.795,67;0,00;155.245,54;0,00;0,00;0,00;0,00;0,00
58.222.910/0001-07;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/122015/RelatorioCircunstanciado.html;0,00;36.000,00;0,00;835.648,00;0,00;0,00;66.741,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;549.595,90;0,00;391.354,42;46.031,07;0,00;1.150,28;0,00;0,00;0,00;0,00;1.926.520,83;1.272.485,36;120.387,63;0,00;0,00;0,00;0,00;37.787,33;52.960,31;21.184,96;0,00;0,00;0,00;11.164,85;0,00;9.396,62;0,00;0,00;0,00;13.505,18;0,00;0,00;4.595,29;2.811,87;0,00;245.806,83;0,00;0,00;0,00;0,00;0,00
71.550.222/0001-26;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/122826/RelatorioCircunstanciado.html;0,00;1.138.698,00;0,00;0,00;0,00;0,00;148.805,31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;309.634,18;0,00;0,00;99.208,89;0,00;0,00;0,00;0,00;0,00;0,00;1.696.346,38;434.854,23;0,00;80.957,69;0,00;0,00;400.350,01;143.931,82;0,00;0,00;133,67;57.927,80;0,00;12.539,96;54.911,39;0,00;0,00;0,00;0,00;16.808,65;0,00;0,00;486,58;0,00;0,00;329.188,54;0,00;0,00;0,00;0,00;0,00
58.191.008/0001-62;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/123704/RelatorioCircunstanciado.html;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;86.162.751,18;0,00;0,00;1.283.300,00;0,00;19.390.794,97;1.805.726,92;0,00;0,00;0,00;0,00;0,00;0,00;48.200,68;56.015,85;0,00;704.084,05;2.994.021,51;0,00;1.118.177,25;1.127,00;150,00;3.743.543,38;0,00;74.818.447,65;33.151.696,31;14.850.552,14;234.215,61;0,00;0,00;0,00;492.600,24;115.806,86;2.437.254,58;0,00;3.954.220,68;997.809,49;2.210.180,58;717.719,33;92.264,53;27.241,43;0,00;0,00;798.271,09;1.957.848,45;237.249,50;708.327,94;515.231,20;52.370,19;4.116.360,29;0,00;0,00;195.412,00;0,00;107.687,67
58.250.267/0001-17;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/123872/RelatorioCircunstanciado.html;0,00;0,00;0,00;296.504,84;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;44.600,00;0,00;56.196,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;200.609,12;0,00;0,00;170,82;0,00;0,00;0,00;0,00;598.080,96;376.014,15;112.460,10;23.331,69;0,00;0,00;0,00;0,00;0,00;23.214,64;0,00;0,00;0,00;13.685,15;0,00;0,00;0,00;0,00;0,00;13.008,78;0,00;0,00;0,00;4.934,77;0,00;35.010,65;0,00;0,00;0,00;0,00;0,00
71.554.695/0001-00;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/123909/RelatorioCircunstanciado.html;326.229,26;0,00;0,00;5.140.464,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;660,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.944,98;4,00;0,00;6.425,05;0,00;0,00;0,00;0,00;0,00;0,00;5.476.727,54;2.471.163,26;1.057.474,44;503.908,03;0,00;0,00;0,00;828.250,53;31.707,37;43.606,43;6.341,48;0,00;370.476,85;4.425,39;19.320,36;1.146,24;766,23;0,00;0,00;10.177,77;925,76;85.616,34;22.354,15;727,89;402,84;113.562,69;0,00;0,00;0,00;0,00;0,00
