beneficiaria_id;beneficiaria_nome;id;secretaria_id;secretaria_sigla;valor_recurso;valor_repasse;ano_recurso;beneficiaria_nome_norm;match_name;match_cnpj;match_type;score;cd_natureza_juridica;natureza_juridica_desc
16;GALP - GRUPO AMIGO DO LAR POBRE;5964;19;SEDS;63047,57;5563,93;2024;GALP - GRUPO AMIGO DO LAR POBRE;GRUPO DE APOIO A INCLUSAO SOCIAL E PROFISSIONAL;58258633000184,0;Manual (GALP);1,0;3999,0;Associacao Privada
181;CASA DO PARAPLÃ‰GICO DE SANTOS;6108;19;SEDS;453173,42;75528,94;2024;CASA DO PARAPLAGICO DE SANTOS;CASA DO PARAPLEGICO DE SANTOS;58263898000170,0;Fuzzy;0,9655172413793104;3999,0;Associacao Privada
181;CASA DO PARAPLÃ‰GICO DE SANTOS;6123;19;SEDS;72827,92;12138,06;2024;CASA DO PARAPLAGICO DE SANTOS;CASA DO PARAPLEGICO DE SANTOS;58263898000170,0;Fuzzy;0,9655172413793104;3999,0;Associacao Privada
466;LAR DAS MOÇAS CEGAS;6169;13;SMS;1009717,32;131824,2;2024;LAR DAS MOCAS CEGAS;LAR DAS MOCAS CEGAS;58198227000173,0;Exact;1,0;3999,0;Associacao Privada
203;EDUCANDÁRIO SANTISTA;6172;19;SEDS;688698,72;60777,67;2024;EDUCANDARIO SANTISTA;EDUCANDARIO SANTISTA;58247503000146,0;Exact;1,0;3999,0;Associacao Privada
203;EDUCANDÁRIO SANTISTA;6175;19;SEDS;368594,24;32528,46;2024;EDUCANDARIO SANTISTA;EDUCANDARIO SANTISTA;58247503000146,0;Exact;1,0;3999,0;Associacao Privada
202;EDUCANDÁRIO ANÁLIA FRANCO;6182;19;SEDS;405969,18;35826,78;2024;EDUCANDARIO ANALIA FRANCO;EDUCANDARIO ANALIA FRANCO;58225905000220,0;Exact;1,0;3999,0;Associacao Privada
477;PRÓ SAÚDE ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA SOCIAL E HOSPITALAR;6183;13;SMS;20376267,7;250000,0;2024;PRO SAUDE ASSOCIACAO BENEFICENTE DE ASSISTENCIA SOCIAL E HOSPITALAR;PRO-SAUDE ASSOCIACAO BENEFICENTE DE ASSISTENCIA SOCIAL E HOSPITALAR - EM RECUPERACAO JUDICIAL;24232886018023,0;Fuzzy;0,825;3999,0;Associacao Privada
477;PRÓ SAÚDE ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA SOCIAL E HOSPITALAR;6184;13;SMS;20376267,7;2371204,39;2024;PRO SAUDE ASSOCIACAO BENEFICENTE DE ASSISTENCIA SOCIAL E HOSPITALAR;PRO-SAUDE ASSOCIACAO BENEFICENTE DE ASSISTENCIA SOCIAL E HOSPITALAR - EM RECUPERACAO JUDICIAL;24232886018023,0;Fuzzy;0,825;3999,0;Associacao Privada
5;ASILO DE INVÁLIDOS DE SANTOS;6195;19;SEDS;663015,36;55251,28;2024;ASILO DE INVALIDOS DE SANTOS;ASILO DE INVALIDOS DE SANTOS;58219551000201,0;Exact;1,0;3999,0;Associacao Privada
