secretaria_sigla,valor_recurso,valor_repasse
SMS,24288756045.4,1216609537.49
SEDUC,1926925377.5700002,555181353.02
SEDS,975897900.6100001,65796193.5
SEFIN,157834464.0,14695100.63
SEGES,113274528.0,4609949.58
SEMULHER,68226192.47999999,8475235.98
SECULT,58542174.01,29600881.66
SECOM,32957542.44,6846584.59
SEMES,31442770.3,14021182.63
SEMAM,24712387.86,4450591.09
SETUR,10954219.11,2479943.6500000004
SEPORTE,4619633.02,1578148.8499999999
SEGOV,1691802.83,1143891.43
GPM,0.0,2024425.99
SESEG,0.0,1325349.0
