beneficiaria_id,beneficiaria_nome,id,secretaria_id,secretaria_sigla,valor_recurso,valor_repasse
6,SANTOS CONVENTION & VISITORS BUREAU,51,20,SETUR,193172.28,19822.24
47,APM DA UME HILDA D ONÓFRIO PAPA,92,12,SEDUC,1376.00,768
47,APM DA UME HILDA D ONÓFRIO PAPA,135,12,SEDUC,1376.00,384
75,APM DA UME REGINA ALTMAN,149,12,SEDUC,6768.00,1128
77,APM DA UME SANDRA CRISTINA TEIXEIRA DA GAMA,150,12,SEDUC,4560.00,760
78,APM DA UME VINTE E OITO DE FEVEREIRO,151,12,SEDUC,29182.67,8144
126,ASSOCIAÇÃO EDUCACIONAL CULTURAL ESPORTIVA E RECREATIVA PROJETO TIA EGLE,152,12,SEDUC,674782.42,160662.48
120,APASEM - ASSOCIAÇÃO DE PROMOÇÃO E ASSISTÊNCIA SOCIAL ESTRELA DO MAR,153,12,SEDUC,916679.74,240082.79
120,APASEM - ASSOCIAÇÃO DE PROMOÇÃO E ASSISTÊNCIA SOCIAL ESTRELA DO MAR,154,12,SEDUC,322740.80,123842.4
170,ASSOCIAÇÃO ESPÍRITA SEARA DE JESUS,155,13,SMS,141913.20,35478.3
94,AMEM - ASSISTÊNCIA AO MENOR ENFERMO MENTAL,156,12,SEDUC,1355164.80,350674.92000000004
483,SOCIEDADE DE MELHORAMENTOS DA VILA SÃO JORGE,157,11,GPM,,10901.22
124,ASSOCIAÇÃO DOS EX-ALUNOS DO COLÉGIO STELLA MARIS - CRECHE MADRE ALIX,158,12,SEDUC,242917.16,63621.16
189,CENTRO ESPÍRITA ISMÊNIA DE JESUS,198,12,SEDUC,1543068.46,404136.98
112,ASSOCIAÇÃO DE AMOR À CRIANÇA ARCANJO RAFAEL,199,12,SEDUC,9515558.56,2492170.1
203,EDUCANDÁRIO SANTISTA,203,12,SEDUC,2478042.14,649011.03
105,ASSOCIAÇÃO BRASILEIRA DE EDUCAÇÃO E CULTURA - ABEC,241,12,SEDUC,746970.46,195635.12
466,LAR DAS MOÇAS CEGAS,242,12,SEDUC,2941746.60,765145.95
16,GALP - GRUPO AMIGO DO LAR POBRE,245,19,SEDS,191858.30,5253.96
207,FUNDAÇÃO SETTAPORT DE RESPONSABILIDADE SOCIAL E INTEGRAÇÃO PORTO CIDADE,246,30,SEMULHER,349842.74,88206.73999999999
114,ASSOCIAÇÃO DE ASSISTÊNCIA SOCIAL EVOLUÇÃO,250,12,SEDUC,2228618.22,534872.58
196,CONSELHO CENTRAL DE SANTOS DA SOCIEDADE SÃƒO VICENTE DE PAULO,251,19,SEDS,215977.31,17998.11
188,CENTRO ESPÍRITA BENEFICENTE 30 DE JULHO,252,19,SEDS,112025.62,9335.47
