beneficiaria_id,beneficiaria_nome,id,secretaria_id,secretaria_sigla,valor_recurso,valor_repasse
16,GALP - GRUPO AMIGO DO LAR POBRE,5964,19,SEDS,63047.57,5563.93
181,CASA DO PARAPLÃ‰GICO DE SANTOS,6108,19,SEDS,453173.42,75528.94
181,CASA DO PARAPLÃ‰GICO DE SANTOS,6123,19,SEDS,72827.92,12138.06
466,LAR DAS MOÇAS CEGAS,6169,13,SMS,1009717.32,131824.2
203,EDUCANDÁRIO SANTISTA,6172,19,SEDS,688698.72,60777.67
203,EDUCANDÁRIO SANTISTA,6175,19,SEDS,368594.24,32528.46
202,EDUCANDÁRIO ANÁLIA FRANCO,6182,19,SEDS,405969.18,35826.78
477,PRÓ SAÚDE ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA SOCIAL E HOSPITALAR,6183,13,SMS,20376267.70,250000
477,PRÓ SAÚDE ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA SOCIAL E HOSPITALAR,6184,13,SMS,20376267.70,2371204.39
453,GBMAR - GRUPAMENTO DE BOMBEIRO MARÍTIMO,6185,17,SESEG,0.00,6000
5,ASILO DE INVÁLIDOS DE SANTOS,6195,19,SEDS,663015.36,55251.28
188,CENTRO ESPÍRITA BENEFICENTE 30 DE JULHO,6203,13,SMS,67019.00,73761.12
480,SOCIEDADE AMIGA DOS POBRES ALBERGUE NOTURNO,6215,19,SEDS,522190.58,80300.41
480,SOCIEDADE AMIGA DOS POBRES ALBERGUE NOTURNO,6218,19,SEDS,737008.07,61417.34
202,EDUCANDÁRIO ANÁLIA FRANCO,6223,19,SEDS,429921.36,46574.81
476,BOMBEIROS - PRIMEIRO SUBGRUPAMENTO DO 6Âº GB,6227,17,SESEG,0.00,20000
103,ASSOCIAÇÃO BRASILEIRA DE APOIO E COMBATE AO CÂNCER INFANTO JUVENIL - ABRACCII,6235,13,SMS,239400.00,19950
188,CENTRO ESPÍRITA BENEFICENTE 30 DE JULHO,6242,19,SEDS,122096.72,888.82
188,CENTRO ESPÍRITA BENEFICENTE 30 DE JULHO,6243,19,SEDS,122096.72,9886.27
599,"AEECS - ASSOCIAÇÃO ESPORTIVA, EDUCACIONAL, CULTURAL E SOCIAL FORMANDO CIDADÃO",6251,23,SEMES,249408.00,0
496,SPDM - ASSOCIAÇÃO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA,6258,13,SMS,18048546.65,2256450.94
496,SPDM - ASSOCIAÇÃO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA,6260,13,SMS,18048546.65,300000
468,LAR ESPÍRITA MENSAGEIROS DA LUZ,6261,13,SMS,641860.68,53488.39
182,CASA VÓ BENEDITA,6266,19,SEDS,676615.32,35624.87
573,ICA - INSTITUTO CONSTRUINDO O AMANHÃ,6271,31,SECOM,498420.00,41535
475,VIDAS RECICLADAS,6272,19,SEDS,695947.19,61417.33
185,CAMPS - CENTRO DE APRENDIZAGEM E MOBILIZAÇÃO PROFISSIONAL E SOCIAL,6276,29,SEFIN,6146688.00,463166.35
190,CIEESH - CENTRO INTERDISCIPLINAR DE EDUCAÃ‡ÃƒO ESPECIAL SIMONE C HORCEL,6279,13,SMS,360000.00,30000
182,CASA VÓ BENEDITA,6280,19,SEDS,676615.32,24086.46
551,BANDA MUSICAL CARLOS GOMES,6284,16,SECULT,0.00,57955.92000000001
188,CENTRO ESPÍRITA BENEFICENTE 30 DE JULHO,6291,19,SEDS,122096.72,3043.78
175,ASSOCIAÇÃO PROMOCIONAL SOL NASCENTE,6297,13,SMS,12000.00,5800
498,USC SAÚDE,6299,13,SMS,4129409.52,430146.83
92,ASPPE - PESQUISA PREVENÇÃO E EDUCAÇÃO,6308,19,SEDS,723109.21,63814.39
497,UACEP - UNIÃO DE AMPARO À COMUNIDADE DE ESCOLAS PUBLICAS,6309,30,SEMULHER,247500.00,0
596,INSTITUTO DEVIR EDUCOM,6310,30,SEMULHER,162286.00,18760.75
560,INSTITUTO NACIONAL DE PESQUISA E GESTAO EM SAUDE - INSAUDE,6313,13,SMS,25097004.00,1828730.98
560,INSTITUTO NACIONAL DE PESQUISA E GESTAO EM SAUDE - INSAUDE,6314,13,SMS,25097004.00,500000
453,GBMAR - GRUPAMENTO DE BOMBEIRO MARÍTIMO,6315,17,SESEG,0.00,6000
170,ASSOCIAÇÃO ESPÍRITA SEARA DE JESUS,6316,13,SMS,11826.10,35478.3
480,SOCIEDADE AMIGA DOS POBRES ALBERGUE NOTURNO,6317,19,SEDS,737008.07,61417.34
125,NAPNE - ASSOCIAÇÃO DOS PORTADORES DE DEFICIÊNCIA MENTAL,6318,13,SMS,192960.00,16080
473,ONG PATINHAS QUE BRILHAM,6319,24,SEMAM,50000.00,4166
480,SOCIEDADE AMIGA DOS POBRES ALBERGUE NOTURNO,6323,19,SEDS,522190.58,96360.48
16,GALP - GRUPO AMIGO DO LAR POBRE,6324,19,SEDS,146058.79,12889.66
16,GALP - GRUPO AMIGO DO LAR POBRE,6326,19,SEDS,146058.79,16580.42
188,CENTRO ESPÍRITA BENEFICENTE 30 DE JULHO,6328,13,SMS,36880.56,0
188,CENTRO ESPÍRITA BENEFICENTE 30 DE JULHO,6329,13,SMS,36880.56,36880.56
188,CENTRO ESPÍRITA BENEFICENTE 30 DE JULHO,6330,19,SEDS,122096.72,3043.78
466,LAR DAS MOÇAS CEGAS,6332,13,SMS,1009717.32,84143.11
68,APM DA UME PROFESSORA MARIA DE LOURDES BORGES  BERNAL,6333,12,SEDUC,53132.76,8855.46
50,APM DA UME IRMÃO JOSE GENESIO,6338,12,SEDUC,30232.44,5038.74
560,INSTITUTO NACIONAL DE PESQUISA E GESTAO EM SAUDE - INSAUDE,6340,13,SMS,25097004.00,1795577.33
560,INSTITUTO NACIONAL DE PESQUISA E GESTAO EM SAUDE - INSAUDE,6341,13,SMS,25097004.00,500000
103,ASSOCIAÇÃO BRASILEIRA DE APOIO E COMBATE AO CÂNCER INFANTO JUVENIL - ABRACCII,6343,13,SMS,239400.00,19950
32,APM DA UME DOS ANDRADAS II,6347,12,SEDUC,30835.08,5139.18
