cd_plano_conta_rel,ds_plano_conta,nivel,vl_abr,vl_abr_f,vl_ago,vl_ago_f,vl_atualizado,vl_atualizado_f,vl_dez,vl_dez_f,vl_fev,vl_fev_f,vl_jan,vl_jan_f,vl_jul,vl_jul_f,vl_jun,vl_jun_f,vl_mai,vl_mai_f,vl_mar,vl_mar_f,vl_nov,vl_nov_f,vl_out,vl_out_f,vl_periodo,vl_periodo_f,vl_previsto,vl_previsto_f,vl_set,vl_set_f,vl_total,vl_total_f
1,Receitas Correntes,1,"R$ 364.212.509,08",364212509.08,"R$ 348.328.902,42",348328902.42,"R$ 4.367.893.000,00",4367893000,"R$ 56.592.026,10",56592026.1,"R$ 364.631.569,88",364631569.88,"R$ 580.056.633,67",580056633.67,"R$ 437.896.446,32",437896446.32,"R$ 351.487.304,25",351487304.25,"R$ 360.071.390,70",360071390.7,"R$ 341.109.937,68",341109937.68,"R$ 336.970.699,12",336970699.12,"R$ 363.728.783,42",363728783.42,,0,"R$ 4.367.893.000,00",4367893000,"R$ 374.272.911,56",374272911.56,"R$ 4.279.359.114,20",4279359114.20001
1.1,"Impostos, Taxas e Contribuições de Melhoria",2,"R$ 206.278.355,79",206278355.79,"R$ 208.863.616,50",208863616.5,"R$ 2.663.804.000,00",2663804000,"R$ 25.669.840,83",25669840.83,"R$ 205.720.667,86",205720667.86,"R$ 397.732.075,22",397732075.22,"R$ 258.053.047,74",258053047.74,"R$ 230.342.399,38",230342399.38,"R$ 214.763.238,70",214763238.7,"R$ 197.136.824,37",197136824.37,"R$ 207.438.724,32",207438724.32,"R$ 216.888.141,56",216888141.56,,0,"R$ 2.663.804.000,00",2663804000,"R$ 212.303.291,73",212303291.73,"R$ 2.581.190.224,00",2581190224
1.1.1,Impostos,3,"R$ 195.458.850,34",195458850.34,"R$ 199.544.958,15",199544958.15,"R$ 2.467.101.000,00",2467101000,"R$ 22.600.119,60",22600119.6,"R$ 194.068.321,82",194068321.82,"R$ 347.646.278,09",347646278.09,"R$ 245.417.953,41",245417953.41,"R$ 217.318.253,90",217318253.9,"R$ 204.123.231,06",204123231.06,"R$ 186.461.447,34",186461447.34,"R$ 197.615.229,10",197615229.1,"R$ 206.017.861,72",206017861.72,,0,"R$ 2.467.101.000,00",2467101000,"R$ 202.220.441,50",202220441.5,"R$ 2.418.492.946,03",2418492946.03
1.1.1.2,Impostos sobre o Patrimônio,4,"R$ 56.229.456,41",56229456.41,"R$ 54.135.435,57",54135435.57,"R$ 822.734.000,00",822734000,"R$ 19.850.023,64",19850023.64,"R$ 57.127.381,96",57127381.96,"R$ 207.869.258,88",207869258.88,"R$ 60.861.812,02",60861812.02,"R$ 62.049.329,51",62049329.51,"R$ 59.065.603,32",59065603.32,"R$ 51.363.197,76",51363197.76,"R$ 51.905.418,43",51905418.43,"R$ 55.501.553,49",55501553.49,,0,"R$ 822.734.000,00",822734000,"R$ 54.104.829,62",54104829.62,"R$ 790.063.300,61",790063300.61
1.1.1.2.50,Imposto sobre a Propriedade Predial e Territorial Urbana,5,"R$ 46.327.816,87",46327816.87,"R$ 41.907.772,82",41907772.82,"R$ 698.961.000,00",698961000,"R$ 17.817.882,29",17817882.29,"R$ 47.793.397,27",47793397.27,"R$ 199.721.939,32",199721939.32,"R$ 51.818.071,09",51818071.09,"R$ 54.415.496,72",54415496.72,"R$ 50.032.919,46",50032919.46,"R$ 42.719.650,70",42719650.7,"R$ 43.005.225,56",43005225.56,"R$ 45.135.634,43",45135634.43,,0,"R$ 698.961.000,00",698961000,"R$ 44.866.246,71",44866246.71,"R$ 685.562.053,24",685562053.24
1.1.1.2.50.0.1,Imposto sobre a Propriedade Predial e Territorial Urbana - Principal,7,"R$ 38.928.674,27",38928674.27,"R$ 35.090.032,58",35090032.58,"R$ 639.018.000,00",639018000,"R$ 15.146.179,72",15146179.72,"R$ 42.407.553,46",42407553.46,"R$ 194.404.855,08",194404855.08,"R$ 39.095.565,40",39095565.4,"R$ 38.359.358,01",38359358.01,"R$ 39.106.731,84",39106731.84,"R$ 37.670.732,94",37670732.94,"R$ 37.932.534,46",37932534.46,"R$ 39.091.611,57",39091611.57,,0,"R$ 639.018.000,00",639018000,"R$ 38.934.497,98",38934497.98,"R$ 596.168.327,31",596168327.31
1.1.1.2.50.0.1.01,Imposto sobre a Propriedade Predial e Territorial Urbana - Principal,8,"R$ 38.928.674,27",38928674.27,"R$ 35.090.032,58",35090032.58,"R$ 639.018.000,00",639018000,"R$ 15.146.179,72",15146179.72,"R$ 42.407.553,46",42407553.46,"R$ 194.404.855,08",194404855.08,"R$ 39.095.565,40",39095565.4,"R$ 38.359.358,01",38359358.01,"R$ 39.106.731,84",39106731.84,"R$ 37.670.732,94",37670732.94,"R$ 37.932.534,46",37932534.46,"R$ 39.091.611,57",39091611.57,,0,"R$ 639.018.000,00",639018000,"R$ 38.934.497,98",38934497.98,"R$ 596.168.327,31",596168327.31
1.1.1.2.50.0.1.01.01,IMPOSTO S/ PROP. PREDIAL URB.,9,"R$ 37.365.159,54",37365159.54,"R$ 32.676.372,88",32676372.88,"R$ 602.163.000,00",602163000,"R$ 13.913.979,85",13913979.85,"R$ 40.738.366,89",40738366.89,"R$ 185.081.194,52",185081194.52,"R$ 37.367.705,93",37367705.93,"R$ 36.665.171,64",36665171.64,"R$ 37.132.845,83",37132845.83,"R$ 36.117.220,96",36117220.96,"R$ 36.072.810,86",36072810.86,"R$ 37.159.007,96",37159007.96,,0,"R$ 602.163.000,00",602163000,"R$ 37.093.686,67",37093686.67,"R$ 567.383.523,53",567383523.53
1.1.1.2.50.0.1.01.02,IMPOSTO S/ PROP. TERRIT. URB.,9,"R$ 1.563.514,73",1563514.73,"R$ 2.413.659,70",2413659.7,"R$ 36.855.000,00",36855000,"R$ 1.232.199,87",1232199.87,"R$ 1.669.186,57",1669186.57,"R$ 9.323.660,56",9323660.56,"R$ 1.727.859,47",1727859.47,"R$ 1.694.186,37",1694186.37,"R$ 1.973.886,01",1973886.01,"R$ 1.553.511,98",1553511.98,"R$ 1.859.723,60",1859723.6,"R$ 1.932.603,61",1932603.61,,0,"R$ 36.855.000,00",36855000,"R$ 1.840.811,31",1840811.31,"R$ 28.784.803,78",28784803.78
1.1.1.2.50.0.2,Imposto sobre a Propriedade Predial e Territorial Urbana -  Multas e Juros,7,"R$ 170.217,10",170217.1,"R$ 304.571,55",304571.55,"R$ 3.777.000,00",3777000,"R$ 115.029,20",115029.2,"R$ 238.924,63",238924.63,"R$ 706.114,54",706114.54,"R$ 270.192,83",270192.83,"R$ 201.748,51",201748.51,"R$ 202.282,64",202282.64,"R$ 141.031,03",141031.03,"R$ 326.591,63",326591.63,"R$ 323.338,01",323338.01,,0,"R$ 3.777.000,00",3777000,"R$ 287.263,07",287263.07,"R$ 3.287.304,74",3287304.74
