cnpj;tx_razao_social_osc;tx_nome_fantasia_osc;cd_natureza_juridica_osc;dt_fundacao_osc;situacao_cadastral;tx_endereco_completo;cd_municipio;municipio_nome;UF_Sigla;longitude;latitude;cnae;Area_Assistencia_social;Area_Associacoes_patronais_e_profissionais;Area_Cultura_e_recreacao;Area_Desenvolvimento_e_defesa_de_direitos_e_interesses;Area_Educacao_e_pesquisa;Area_Outras_atividades_associativas;Area_Religiao;Area_Saude;SubArea_Assistencia_social;SubArea_Associacoes_de_atividades_nao_especificadas_anteriormente;SubArea_Associacoes_de_produtores_rurais_pescadores_e_similares;SubArea_Associacoes_empresariais_e_patronais;SubArea_Associacoes_profissionais;SubArea_Atividades_de_apoio_a_educacao;SubArea_Cultura_e_arte;SubArea_Desenvolvimento_e_defesa_de_direitos;SubArea_Educacao_infantil;SubArea_Educacao_profissional;SubArea_Ensino_fundamental;SubArea_Ensino_superior;SubArea_Esportes_e_recreacao;SubArea_Estudos_e_pesquisas;SubArea_Hospitais;SubArea_Outras_formas_de_educacao_ensino;SubArea_Outros_servicos_de_saude;SubArea_Religiao
11061656000211;ASSOCIACAO SOCIAL SAGRADA FAMILIA;INSTITUTO DE EDUCACAO INFANTIL SAO JOSE UNIDADE CAMINHO;3999;2024-12-17;Ativa;RUA DO CAMINHO SAO JOSE, 115, , RADIO CLUBE, Santos, SP, 11088501;3548500.0;SANTOS;SP;-46,389559;-23,942664;85112;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11061656000300;ASSOCIACAO SOCIAL SAGRADA FAMILIA;CRECHE E PRE-ESCOLA NOSSA SENHORA DAS GRACAS;3999;2024-12-17;Ativa;RUA DOIS, S/N, , BOM RETIRO, Santos, SP, 11090300;3548500.0;SANTOS;SP;-46,377497;-23,935055;85112;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5273791001380;ASSOCIACAO DE PROMOCAO E ASSISTENCIA SOCIAL ESTRELA DO MAR;NUCLEO ANCILLA - JORNADA AMPLIADA - EDUCACAO INTEGRAL;3999;2025-06-16;Ativa;RUA PADRE VISCONTI, 12, , EMBARE, Santos, SP, 11040150;3548500.0;SANTOS;SP;-46,319652;-23,973834;85112;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
61873820000182;ASSOCIACAO TV PORTUGUESA;;3999;2025-07-10;Ativa;RUA MARTIN AFFONSO, 142 A, SALA  01, CENTRO, Santos, SP, 11010060;3548500.0;SANTOS;SP;-46,326737;-23,935299;59111;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
62072463000116;ASSOCIACAO ARENA PIRULITO FUTEVOLEI DE SANTOS;;3999;2025-08-05;Ativa;AVENIDA PREFEITO DOUTOR ANTONIO MANOEL DE CARVALHO, 780, BLOCO D                   APT   75, MORRO NOVA CINTRA, Santos, SP, 11080100;3548500.0;SANTOS;SP;-46,354754;-23,949253;93131;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
62329045000161;INSTITUTO INCLUSAO EM CENA;INSTITUTO INCLUSAO EM CENA;3999;2025-07-31;Ativa;RUA ROBERT SANDALL, 76, APT   61, PONTA DA PRAIA, Santos, SP, 11030530;3548500.0;SANTOS;SP;-46,307184;-23,984508;94308;;;;;;;;;;;;;;;;;;;;;;;;;;
62431013000172;INSTITUTO KINGS BJJ;INSTITUTO KINGS BJJ;3999;2025-06-18;Ativa;RUA DA PAZ, 9, APT   501, BOQUEIRAO, Santos, SP, 11045520;3548500.0;SANTOS;SP;-46,327728;-23,97032;94308;;;;;;;;;;;;;;;;;;;;;;;;;;
62937584000183;COSTA DO SOL ALIMENTACAO ASSOCIACAO;;3999;2025-09-16;Ativa;AVENIDA SENADOR CESAR LACERDA DE VERGUEIRO, 3, , PONTA DA PRAIA, Santos, SP, 11030220;3548500.0;SANTOS;SP;-46,302638;-23,986729;93298;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
63135500000150;INSTITUICAO RELIGIOSA VOVO PAIVA;;3220;2025-09-09;Ativa;RUA COMENDADOR MARTINS, 82, , VILA MATHIAS, Santos, SP, 11015531;3548500.0;SANTOS;SP;-46,32802;-23,946916;94910;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
7490700000231;ASSOCIACAO SOS MELHOR AMIGO;;3999;2025-08-20;Ativa;RUA CAMINHO 6, 105, , CARUARA, Santos, SP, 11200000;3548500.0;SANTOS;SP;-46,194712;-23,884407;94308;;;;;;;;;;;;;;;;;;;;;;;;;;
40903649000137;LIGA DE CLUBES DE VA A SANTISTA;;3999;2021-01-15;Ativa;RUA PADRE BARTOLOMEU TADDEI12, PONTA DA PRAIA, Santos, SP, 11035150;3548500.0;SANTOS;SP;-46,3058990409996;-23,9823724049996;94308;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
54322233000130;NOSSA SENHORA DE FATIMA ALIMENTACAO ASSOCIACAO;;3999;2024-01-29;Ativa;RUA UM, 3621, , MORRO SANTA MARIA, Santos, SP, 11080670;3548500.0;SANTOS;SP;-46,3777966874;-23,935166697;93298;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
40813885000162;ASSOCIACAO DOS MORADORES E COMERCIANTES DA CAMPOS MELO - AMOCCAM;;3999;2021-01-18;Ativa;RUA CAMPOS MELLO272, VILA MATHIAS, Santos, SP, 11015011;3548500.0;SANTOS;SP;-46,3204086829996;-23,9467294079996;94308;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
40981191000134;NOSSA SENHORA DO MONTE SERRAT ASSOCIACAO;;3999;2021-01-20;Ativa;RUA DOUTOR LOBO VIANA20, BOQUEIRAO, Santos, SP, 11045120;3548500.0;SANTOS;SP;-46,3215008989996;-23,9647466979996;93298;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
