Sigla,Nome Completo,Área de Atuação
SEDS,Secretaria de Desenvolvimento Social,Assistência Social
SMS,Secretaria Municipal de Saúde,Saúde
SESEG,Secretaria de Segurança,Segurança Pública
SECOM,Secretaria de Comunicação,Comunicação Institucional
SEFIN,Secretaria de Finanças,Gestão e Finanças
SECULT,Secretaria de Cultura,Cultura
SEMULHER,Secretaria da Mulher da Cidadania e dos Direitos Humanos,Direitos Humanos e Cidadania
SEMAM,Secretaria de Meio Ambiente,Meio Ambiente
SEDURB,Secretaria de Desenvolvimento Urbano,Urbanismo e Obras
SEDUC,Secretaria de Educação,Educação
SEPORT,Secretaria de Assuntos Portuários e Emprego,Porto e Trabalho
